BOrianna,BLucian,BKha'Zix,BOlaf,BTrundle,RGalio,RXerath,RCaitlyn,RSejuani,RGraves
BSejuani,BKha'Zix,BLucian,BGangplank,BKassadin,RIrelia,RElise,RJayce,RSion,RVayne
BTwitch,BGalio,BJanna,BKarma,BLee Sin,RElise,RKennen,RBlitzcrank,RKalista,RTalon
BDraven,BKha'Zix,BLulu,BFizz,BJax,RWarwick,RTwitch,RSona,RTwisted Fate,RGragas
BAshe,BGalio,BDiana,BMiss Fortune,BTwitch,RAnivia,RPantheon,RNunu,RCaitlyn,RBard
BJanna,BNunu,BTwitch,BLucian,BFizz,RHecarim,RThresh,RRyze,RXayah,RGangplank
BKha'Zix,BBrand,BLucian,BAhri,BYasuo,RLeBlanc,RAshe,RFiora,RLeona,RGragas
BTaliyah,BGraves,BRumble,BKarma,BLucian,RKassadin,RGalio,RXayah,RGragas,RLulu
BNunu,BCaitlyn,BLulu,BKennen,BGangplank,RShen,RGragas,REzreal,RRengar,RTaliyah
BNunu,BTwitch,BLeBlanc,BTalon,BKarma,RLulu,RFiora,RJarvan IV,RKassadin,RKalista
BKha'Zix,BFiora,BAshe,BKarma,BRyze,RNautilus,RJhin,RHeimerdinger,RCassiopeia,RLee Sin
BSejuani,BCassiopeia,BWarwick,BLulu,BCaitlyn,RLucian,RThresh,RZac,RIrelia,ROrianna
BBlitzcrank,BLee Sin,BJhin,BGragas,BOrianna,RLeBlanc,RKarma,RElise,RCaitlyn,RGalio
BDraven,BGraves,BSona,BAhri,BRenekton,RZyra,RCaitlyn,RIvern,RGragas,RSyndra
BCassiopeia,BKarma,BMiss Fortune,BShen,BOrianna,RTryndamere,RTwitch,RBrand,RZac,RAhri
BDarius,BVel'Koz,BElise,BOrianna,BEzreal,RViktor,RNautilus,RGraves,RLulu,RLucian
BOrianna,BCaitlyn,BBard,BLee Sin,BCassiopeia,RKled,RRiven,RTaliyah,RLulu,RTwitch
BLulu,BLucian,BYasuo,BElise,BOrianna,RCaitlyn,RTaliyah,RKarma,RGragas,RVi
BNidalee,BFizz,BKennen,BLulu,BLucian,RAhri,RDraven,RLee Sin,RKarma,RJayce
BBlitzcrank,BCorki,BJayce,BRumble,BNidalee,RAshe,RLucian,RMalzahar,RGragas,RNautilus
BZac,BRyze,BBard,BJhin,BTalon,RGraves,RSoraka,RKled,REkko,RLucian
BCaitlyn,BLee Sin,BEkko,BAkali,BSona,RKarma,RKha'Zix,RGragas,RLucian,RSyndra
BAkali,BEzreal,BKennen,BLucian,BThresh,RLee Sin,RCaitlyn,RWarwick,RKarma,RCassiopeia
BGragas,BSyndra,BLee Sin,BKarma,BDraven,RNami,RTwitch,RElise,RLucian,RGalio
BGragas,BSyndra,BCaitlyn,BTrundle,BVi,RViktor,RRek'Sai,RAnnie,RLucian,RThresh
BLee Sin,BSyndra,BThresh,BRenekton,BXayah,RTahm Kench,RBard,ROrianna,RCaitlyn,RRiven
BTwisted Fate,BKarma,BCaitlyn,BNautilus,BNunu,RRengar,RRyze,RSivir,RLulu,RHeimerdinger
BSejuani,BXerath,BFizz,BLucian,BJhin,RGragas,RCaitlyn,RFiora,RViktor,RJanna
BEkko,BSoraka,BKha'Zix,BJayce,BCaitlyn,RYasuo,RXayah,RThresh,RAnivia,RGraves
BLucian,BKassadin,BJayce,BOlaf,BGragas,RAnnie,REzreal,RWarwick,RElise,RAshe
BBlitzcrank,BCassiopeia,BDraven,BZac,BBrand,RLee Sin,RPantheon,RSivir,RLeBlanc,RSona
BGragas,BGalio,BJayce,BKarma,BLucian,RFiora,RRengar,RKassadin,REzreal,RZac
BDraven,BRakan,BRumble,BTalon,BNunu,RSyndra,RLucian,RThresh,RVi,RFizz
BMaokai,BElise,BAhri,BJax,BDraven,RXayah,RGraves,RJayce,RSona,RSyndra
BRumble,BFizz,BJanna,BLee Sin,BJhin,RCaitlyn,REkko,RVladimir,RNami,RGraves
BKha'Zix,BKarma,BLulu,BLucian,BHeimerdinger,RLeBlanc,RGragas,RElise,RJayce,RXayah
BSona,BGragas,BLucian,BKennen,BEzreal,RJinx,RKarma,RLee Sin,RFiora,RKassadin
BPantheon,BOlaf,BXayah,BRakan,BYasuo,RTwitch,RJayce,RJanna,RLee Sin,RSyndra
BKindred,BAshe,BGragas,BCassiopeia,BNami,RTwitch,RSoraka,RYasuo,RNautilus,RGraves
BFiddlesticks,BCaitlyn,BGalio,BLee Sin,BSyndra,RAshe,RThresh,RAnivia,RElise,RLucian
BElise,BRakan,BXayah,BGragas,BYasuo,RAkali,RJanna,RFiora,RIvern,RTwitch
BDraven,BJanna,BOlaf,BLeBlanc,BGragas,RJax,RRyze,RRakan,RZac,RLucian
BKennen,BTaliyah,BXayah,BLee Sin,BKarma,RNunu,RLucian,RGalio,RGragas,RVladimir
BLulu,BKassadin,BEzreal,BPantheon,BKha'Zix,RGragas,RGraves,RJayce,RKarma,RSwain
BFiora,BTahm Kench,BLee Sin,BLucian,BKassadin,REzreal,RRyze,RThresh,ROlaf,RAatrox
BSyndra,BTwitch,BBlitzcrank,BRiven,BLee Sin,RJax,RAnivia,RKarma,RIvern,RAshe
BLucian,BGragas,BLee Sin,BMorgana,BJayce,RRiven,RKassadin,RVi,RZyra,RVayne
BKha'Zix,BBlitzcrank,BVladimir,BTwitch,BFiora,RLee Sin,RTwisted Fate,RJax,RMorgana,REzreal
BZac,BGragas,BLucian,BBlitzcrank,BAnivia,RKarma,RLee Sin,RDraven,RAnnie,RShen
BGalio,BRakan,BJarvan IV,BLeBlanc,BTwitch,RVayne,RRenekton,RJanna,RLee Sin,RRyze
BLee Sin,BAhri,BEzreal,BKarma,BFiora,RWarwick,RMorgana,RKennen,RZiggs,RLucian
